term,global_mean,between_circuit_sd,n_circuits
fuel,-0.05550959634793326,0.015917993677728365,27
evolution,,0.0,0
deg_hardest,0.033577326477748026,0.03916712764046068,27
deg_softest,0.04627978115852518,0.03469141112570329,27
deg_quad,-1.5178736266240596e-05,0.0010471952668144975,27
traffic,0.976143687024541,0.4229586513523355,27
