stint_id,race_id,driver_code,team,stint,compound,compound_rank,fresh_tyre,start_lap,end_lap,stint_laps,ended_in_pit,ran_to_flag,tyre_life_observed,caution_during_stint
2023_16_HUL_s3,2023_16,HUL,Haas F1 Team,3,HARD,HARDEST,True,22.0,37.0,16.0,True,False,True,False
2023_16_HUL_s4,2023_16,HUL,Haas F1 Team,4,MEDIUM,MIDDLE,True,38.0,52.0,15.0,False,True,False,False
2023_16_LAW_s1,2023_16,LAW,AlphaTauri,1,SOFT,SOFTEST,True,1.0,10.0,10.0,True,False,True,True
2023_16_LAW_s2,2023_16,LAW,AlphaTauri,2,MEDIUM,MIDDLE,True,11.0,25.0,15.0,True,False,True,True
2023_16_LAW_s3,2023_16,LAW,AlphaTauri,3,HARD,HARDEST,True,26.0,52.0,27.0,False,True,False,False
2023_16_LEC_s1,2023_16,LEC,Ferrari,1,MEDIUM,MIDDLE,True,1.0,17.0,17.0,True,False,True,True
2023_16_LEC_s2,2023_16,LEC,Ferrari,2,MEDIUM,MIDDLE,True,18.0,34.0,17.0,True,False,True,False
2023_16_LEC_s3,2023_16,LEC,Ferrari,3,HARD,HARDEST,True,35.0,53.0,19.0,False,True,False,False
2023_16_MAG_s1,2023_16,MAG,Haas F1 Team,1,MEDIUM,MIDDLE,True,1.0,12.0,12.0,True,False,True,True
2023_16_MAG_s2,2023_16,MAG,Haas F1 Team,2,HARD,HARDEST,True,13.0,31.0,19.0,True,False,True,True
2023_16_MAG_s3,2023_16,MAG,Haas F1 Team,3,HARD,HARDEST,True,32.0,52.0,21.0,False,True,False,False
2023_16_NOR_s1,2023_16,NOR,McLaren,1,MEDIUM,MIDDLE,True,1.0,17.0,17.0,True,False,True,True
2023_16_NOR_s2,2023_16,NOR,McLaren,2,HARD,HARDEST,True,18.0,36.0,19.0,True,False,True,False
2023_16_NOR_s3,2023_16,NOR,McLaren,3,HARD,HARDEST,True,37.0,53.0,17.0,False,True,False,False
2023_16_OCO_s1,2023_16,OCO,Alpine,1,MEDIUM,MIDDLE,True,1.0,1.0,1.0,True,False,True,True
