decile,opportunities,mean_predicted,observed_rate
0,5616,0.001400476040985,0.0008903133903133
1,6091,0.0027516302502795,0.0029551797734362
2,5858,0.003983654537331,0.0035848412427449
3,5870,0.0062636850166944,0.0047700170357751
4,5723,0.0109105029352906,0.0110082124759741
5,5948,0.0191863778249901,0.019502353732347
6,5906,0.0338608856448024,0.0314933965458855
7,5860,0.0725054182602102,0.0680887372013651
8,5859,0.1691974976002461,0.1657279399214883
9,5860,0.4798684608946708,0.4914675767918088
