strategy_cost,source,estimate_s,ci_lo_s,ci_hi_s,races
Extra pit stop,Real races,-1.0247707231568681,-7.072089182880295,4.21195942404548,107
Uneven stints,Real races,-4.435063659769447,-42.45290474393273,32.08794493086704,124
Extra pit stop,Simulator,8.835776276276059,2.4730101758752774,15.430986464332495,107
Uneven stints,Simulator,117.98471838736661,90.11796690640818,148.9825339453692,124
Extra pit stop,Simulator − real,9.860546999432927,2.334723162856758,17.326883551534298,107
Uneven stints,Simulator − real,122.41978204713605,78.37973062393193,167.41420410724385,124
